county_FIPS,unemployed_num,unemployment_rate
00000,6977228,4.354932308
01000,99059,4.6
01001,1040,4
01003,3844,4.2
01005,498,6
01007,385,4.5
01009,1025,4.2
01011,244,5.1
01013,508,5.7
01015,2332,5.1
01017,637,4.2
01019,475,4.2
01021,807,4.2
01023,286,6.5
01025,676,8.8
01027,259,4.5
01029,265,4.6
01031,944,4.5
01033,1245,5.4
01035,283,6.3
01037,211,4.8
01039,842,5.4
01041,299,4.7
01043,1457,3.9
01045,918,4.6
01047,1159,7.7
01049,1366,4.6
01051,1412,3.8
01053,741,5.1
01055,2034,4.7
01057,318,4.9
01059,614,4.4
01061,483,4.5
01063,222,7.8
01065,364,6.1
01067,336,5
01069,2011,4.5
01071,1140,4.9
01073,13605,4.4
01075,248,4.3
01077,2009,4.8
01079,692,5.1
01081,3004,4.1
01083,1719,4.2
01085,309,8.5
01087,469,6
01089,7035,4
01091,444,5.8
01093,619,5
01095,1668,4
01097,9999,5.4
01099,499,6.9
01101,4722,4.5
01103,2326,4.2
01105,276,8
01107,426,5.5
01109,765,5
01111,428,4.5
01113,1041,4.5
01115,1603,4.1
01117,3693,3.3
01119,335,6.8
01121,1786,5.2
01123,788,4.3
01125,4279,4.3
01127,1291,5.2
01129,466,7
01131,329,11.8
01133,502,5.2
02000,23497,6.5
02013,60,2.4
02016,129,3.4
02020,8372,5.4
02050,931,12.7
02060,25,5.9
02068,97,8.4
02070,172,8.4
02090,2649,5.7
02100,90,8.3
02105,131,11.5
02110,748,4.3
02122,2079,7.7
02130,408,5.7
02150,297,4.7
02158,508,18.5
02164,79,11
02170,3737,7.7
02180,465,11.3
02185,250,6.9
02188,449,15.2
02195,122,8.6
02198,296,10.4
02201,,
02220,188,4.2
02230,80,9.7
02232,,
02240,282,9.6
02261,352,7.2
02275,75,7.1
02280,,
02282,20,8.6
02290,408,16.6
04000,164808,4.9
04001,2133,10.4
04003,2793,5.6
04005,4241,5.6
04007,1309,6.1
04009,794,5.5
04011,203,5.1
04012,476,5.5
04013,91208,4.2
04015,4913,6
04017,3161,7.7
04019,21767,4.6
04021,8773,5.1
04023,1834,9.6
04025,4682,4.6
04027,16522,17.2
05000,50492,3.7
05001,295,3.3
05003,443,5.6
05005,705,4.3
05007,3960,3
05009,548,3.5
05011,205,4.6
05013,94,3.9
05015,438,3.4
05017,229,6.6
05019,377,3.9
05021,269,4.6
05023,462,5
05025,146,4.4
05027,464,5.1
05029,397,4.8
05031,1627,3
05033,959,3.6
05035,945,4.4
05037,310,4
05039,130,4.4
05041,264,4.8
05043,409,5.1
05045,2067,3.4
05047,263,3.5
05049,201,4.3
05051,1647,4.1
05053,272,3.3
05055,734,3.7
05057,344,3.5
05059,528,3.7
05061,183,3.1
05063,693,4.3
05065,273,5.6
05067,349,5.9
05069,1468,5.2
05071,457,4.3
05073,129,5.1
05075,262,3.8
05077,145,4.9
05079,171,4.2
05081,269,4.9
05083,345,3.9
05085,1119,3.3
05087,213,2.9
05089,259,4
05091,868,4.4
05093,1069,6
05095,120,4.3
05097,150,4.8
05099,129,3.6
05101,122,3.7
05103,449,4.6
05105,178,4.2
05107,382,5.8
05109,174,4
05111,431,4.2
05113,364,4.5
05115,1308,4.5
05117,152,4.1
05119,6497,3.4
05121,291,4.2
05123,426,5.1
05125,1755,3
05127,155,3.5
05129,137,4.7
05131,2088,3.6
05133,259,4.6
05135,302,5.1
05137,231,4.8
05139,859,5.3
05141,333,5.5
05143,3162,2.6
05145,1546,4.6
05147,143,4.9
05149,349,4.1
06000,926965,4.8
06001,31045,3.7
06003,34,6.2
06005,735,5
06007,5946,5.8
06009,1001,4.8
06011,1551,14.3
06013,21575,3.9
06015,628,6.5
06017,3948,4.4
06019,38216,8.6
06021,964,7.5
06023,2641,4.2
06025,14168,19.7
06027,379,4.4
06029,35605,9.3
06031,5136,9
06033,1705,5.8
06035,557,5.6
06037,245204,4.8
06039,4981,8.2
06041,4050,2.9
06043,450,5.9
06045,1801,4.6
06047,10889,9.4
06049,261,8.2
06051,379,4.5
06053,15874,7.2
06055,2689,3.7
