state_Name,state_Abbreviations,state_FIPS,state_Population
Alabama,AL,1,"4,874,486"
Alaska,AK,2,"739,700"
Arizona,AZ,4,"7,044,008"
Arkansas,AR,5,"3,001,345"
California,CA,6,"39,358,497"
Colorado,CO,8,"5,611,885"
Connecticut,CT,9,"3,573,297"
Delaware,DE,10,"956,823"
District of Columbia,DC,11,"694,906"
Florida,FL,12,"20,963,613"
Georgia,GA,13,"10,410,330"
Hawaii,HI,15,"1,424,393"
Idaho,ID,16,"1,717,715"
Illinois,IL,17,"12,778,828"
Indiana,IN,18,"6,658,078"
Iowa,IA,19,"3,141,550"
Kansas,KS,20,"2,908,718"
Kentucky,KY,21,"4,452,268"
Louisiana,LA,22,"4,670,560"
Maine,ME,23,"1,334,612"
Maryland,MD,24,"6,023,868"
Massachusetts,MA,25,"6,859,789"
Michigan,MI,26,"9,973,114"
Minnesota,MN,27,"5,566,230"
Mississippi,MS,28,"2,988,510"
Missouri,MO,29,"6,106,670"
Montana,MT,30,"1,052,482"
Nebraska,NE,31,"1,915,947"
Nevada,NV,32,"2,969,905"
New Hampshire,NH,33,"1,348,787"
New Jersey,NJ,34,"8,885,525"
New Mexico,NM,35,"2,091,784"
New York,NY,36,"19,589,572"
North Carolina,NC,37,"10,268,233"
North Dakota,ND,38,"754,942"
Ohio,OH,39,"11,659,650"
Oklahoma,OK,40,"3,931,316"
Oregon,OR,41,"4,143,625"
Pennsylvania,PA,42,"12,787,641"
Rhode Island,RI,44,"1,055,673"
South Carolina,SC,45,"5,021,268"
South Dakota,SD,46,"872,868"
Tennessee,TN,47,"6,708,799"
Texas,TX,48,"28,295,273"
Utah,UT,49,"3,101,042"
Vermont,VT,50,"624,344"
Virginia,VA,51,"8,463,587"
Washington,WA,53,"7,423,362"
West Virginia,WV,54,"1,817,004"
Wisconsin,WI,55,"5,790,186"
Wyoming,WY,56,"578,931"
