p_id,county_FIPS,state_abbreviation,state_name,pov_estimate,pov_percentage
1,1000,AL,Alabama,"802,263",16.9
2,1001,AL,Autauga County,"7,390",13.4
3,1003,AL,Baldwin County,"21,199",10.1
4,1005,AL,Barbour County,"7,414",33.4
5,1007,AL,Bibb County,"4,137",20.2
6,1009,AL,Blount County,"7,343",12.8
7,1011,AL,Bullock County,"2,956",34.4
8,1013,AL,Butler County,"4,154",21.3
9,1015,AL,Calhoun County,"19,832",17.7
10,1017,AL,Chambers County,"6,036",18.2
11,1019,AL,Cherokee County,"4,381",17.2
12,1021,AL,Chilton County,"7,303",16.8
13,1023,AL,Choctaw County,"3,031",23.7
14,1025,AL,Clarke County,"5,541",23.3
15,1027,AL,Clay County,"2,363",18.1
16,1029,AL,Cleburne County,"2,365",16.1
17,1031,AL,Coffee County,"7,954",15.5
18,1033,AL,Colbert County,"8,324",15.4
19,1035,AL,Conecuh County,"2,939",23.7
20,1037,AL,Coosa County,"1,823",17.4
21,1039,AL,Covington County,"6,447",17.7
22,1041,AL,Crenshaw County,"2,722",19.9
23,1043,AL,Cullman County,"11,256",13.8
24,1045,AL,Dale County,"8,528",17.7
25,1047,AL,Dallas County,"10,796",27.9
26,1049,AL,DeKalb County,"13,785",19.5
27,1051,AL,Elmore County,"9,151",12
28,1053,AL,Escambia County,"7,971",23.3
29,1055,AL,Etowah County,"18,257",18.1
30,1057,AL,Fayette County,"3,146",19.4
31,1059,AL,Franklin County,"6,394",20.5
32,1061,AL,Geneva County,"5,659",21.7
33,1063,AL,Greene County,"2,752",33.2
34,1065,AL,Hale County,"3,654",25.1
35,1067,AL,Henry County,"2,882",17
36,1069,AL,Houston County,"17,095",16.6
37,1071,AL,Jackson County,"8,539",16.6
38,1073,AL,Jefferson County,"107,752",16.7
39,1075,AL,Lamar County,"2,570",18.7
40,1077,AL,Lauderdale County,"12,395",13.7
41,1079,AL,Lawrence County,"5,494",16.8
42,1081,AL,Lee County,"27,901",17.8
43,1083,AL,Limestone County,"10,830",11.9
44,1085,AL,Lowndes County,"2,585",25.9
45,1087,AL,Macon County,"5,213",30.6
46,1089,AL,Madison County,"44,979",12.8
47,1091,AL,Marengo County,"4,356",22.8
48,1093,AL,Marion County,"5,582",19.3
49,1095,AL,Marshall County,"18,873",20.1
50,1097,AL,Mobile County,"80,116",19.7
51,1099,AL,Monroe County,"5,018",23.8
52,1101,AL,Montgomery County,"46,315",21.3
53,1103,AL,Morgan County,"17,301",14.8
54,1105,AL,Perry County,"3,180",37.2
55,1107,AL,Pickens County,"4,093",22.3
56,1109,AL,Pike County,"8,611",27.7
57,1111,AL,Randolph County,"3,771",17
58,1113,AL,Russell County,"13,078",23.2
59,1115,AL,St. Clair County,"11,644",13.5
60,1117,AL,Shelby County,"15,585",7.4
61,1119,AL,Sumter County,"4,238",35.9
62,1121,AL,Talladega County,"14,062",18.3
63,1123,AL,Tallapoosa County,"7,311",18.3
64,1125,AL,Tuscaloosa County,"31,238",15.9
65,1127,AL,Walker County,"10,975",17.4
66,1129,AL,Washington County,"3,303",20.2
67,1131,AL,Wilcox County,"3,392",32
68,1133,AL,Winston County,"4,980",21.3
69,2000,AK,Alaska,"79,428",11
70,2013,AK,Aleutians East Borough,491,14.6
71,2016,AK,Aleutians West Census Area,451,8.1
72,2020,AK,Anchorage Borough,"27,663",9.6
73,2050,AK,Bethel Census Area,"5,077",28.7
74,2060,AK,Bristol Bay Borough,92,10.9
75,2068,AK,Denali Borough,158,8
76,2070,AK,Dillingham Census Area,"1,015",20.8
77,2090,AK,Fairbanks North Star Borough,"7,051",7.4
78,2100,AK,Haines Borough,288,11.4
79,2105,AK,Hoonah-Angoon Census Area,376,17.6
80,2110,AK,Juneau Borough,"2,596",8.3
81,2122,AK,Kenai Peninsula Borough,"5,840",10.2
82,2130,AK,Ketchikan Gateway Borough,"1,341",9.9
83,2150,AK,Kodiak Island Borough,991,7.5
84,2158,AK,Kusilvak Census Area,"3,050",37.5
85,2164,AK,Lake and Peninsula Borough,253,15.7
86,2170,AK,Matanuska-Susitna Borough,"11,768",11.3
87,2180,AK,Nome Census Area,"2,248",23.2
88,2185,AK,North Slope Borough,"1,182",12.2
89,2188,AK,Northwest Arctic Borough,"1,974",26
90,2195,AK,Petersburg Borough,240,7.4
91,2198,AK,Prince of Wales-Hyder Census Area,"1,183",18.5
92,2220,AK,Sitka Borough,694,8.1
93,2230,AK,Skagway Municipality,50,4.3
94,2240,AK,Southeast Fairbanks Census Area,872,12.8
95,2261,AK,Valdez-Cordova Census Area,845,9.2
96,2275,AK,Wrangell City and Borough,310,12.4
97,2282,AK,Yakutat Borough,92,15.3
98,2290,AK,Yukon-Koyukuk Census Area,"1,237",23.2
99,4000,AZ,Arizona,"1,023,337",14.9
100,4001,AZ,Apache County,"23,426",33.1
101,4003,AZ,Cochise County,"19,219",16.1
102,4005,AZ,Coconino County,"23,946",18.4
103,4007,AZ,Gila County,"12,661",24.1
104,4009,AZ,Graham County,"7,213",20.9
105,4011,AZ,Greenlee County,948,10.1
106,4012,AZ,La Paz County,"4,263",20.9
107,4013,AZ,Maricopa County,"570,402",13.5
108,4015,AZ,Mohave County,"34,891",17.3
109,4017,AZ,Navajo County,"28,216",26.4
110,4019,AZ,Pima County,"165,811",16.6
111,4021,AZ,Pinal County,"52,566",13
112,4023,AZ,Santa Cruz County,"10,858",23.6
113,4025,AZ,Yavapai County,"31,166",13.9
114,4027,AZ,Yuma County,"37,751",19
115,5000,AR,Arkansas,"475,883",16.3
116,5001,AR,Arkansas County,"3,515",19.9
117,5003,AR,Ashley County,"3,980",19.8
118,5005,AR,Baxter County,"5,650",13.9
119,5007,AR,Benton County,"24,110",9.1
120,5009,AR,Boone County,"5,495",14.9
121,5011,AR,Bradley County,"2,237",20.9
122,5013,AR,Calhoun County,772,15.2
123,5015,AR,Carroll County,"4,523",16.4
124,5017,AR,Chicot County,"2,974",30.1
125,5019,AR,Clark County,"4,142",21.4
126,5021,AR,Clay County,"2,673",18.1
127,5023,AR,Cleburne County,"3,852",15.6
128,5025,AR,Cleveland County,"1,167",14.3
129,5027,AR,Columbia County,"5,512",25.5
130,5029,AR,Conway County,"3,543",17.2
131,5031,AR,Craighead County,"15,354",14.9
132,5033,AR,Crawford County,"10,896",17.5
133,5035,AR,Crittenden County,"10,070",21.1
134,5037,AR,Cross County,"3,047",18.4
135,5039,AR,Dallas County,"1,464",21
136,5041,AR,Desha County,"3,388",29
137,5043,AR,Drew County,"3,553",20.3
138,5045,AR,Faulkner County,"15,941",13.4
139,5047,AR,Franklin County,"3,165",18
140,5049,AR,Fulton County,"2,442",20.6
141,5051,AR,Garland County,"15,384",15.9
142,5053,AR,Grant County,"2,185",12.2
143,5055,AR,Greene County,"6,559",14.8
144,5057,AR,Hempstead County,"5,208",24.2
145,5059,AR,Hot Spring County,"5,225",16.8
146,5061,AR,Howard County,"2,535",19.1
147,5063,AR,Independence County,"5,799",15.9
148,5065,AR,Izard County,"2,444",19.3
149,5067,AR,Jackson County,"3,292",22.2
150,5069,AR,Jefferson County,"14,957",23.5
151,5071,AR,Johnson County,"4,758",18.4
152,5073,AR,Lafayette County,"1,622",24.1
153,5075,AR,Lawrence County,"2,682",16.9
154,5077,AR,Lee County,"2,760",37.3
155,5079,AR,Lincoln County,"2,302",23.4
156,5081,AR,Little River County,"2,076",17
157,5083,AR,Logan County,"4,340",20.5
158,5085,AR,Lonoke County,"8,011",11.1
